0 1 2
0 2 1
0 3 1
0 9 1
 0 10 1
0 13 1
0 16 1
0 27 1
0 38 1
0 43 1
0 44 1
0 45 1
0 46 1
0 47 1
0 49 1
0 50 2
0 57 1
0 58 1
0 59 1
0 60 1
0 67 1
0 68 1
0 70 1
0 76 1
0 77 1
0 83 1
0 86 1
0 92 1
0 95 1
0 101 1
0 104 1
0 108 1
0 111 1
0 114 1
0 130 1
0 131 1
0 133 1
0 135 1
0 140 1
0 150 1
0 154 1
0 156 1
0 160 1
0 166 1
0 169 1
0 171 1
0 174 1
0 175 1
0 177 1
0 180 1
0 193 1
0 194 1
0 197 1
0 199 2
0 202 1
0 207 1
0 209 1
0 221 1
0 222 1
0 223 1
0 224 1
0 226 1
0 227 1
0 229 1
0 231 1
0 232 1
0 235 2
0 241 1
0 250 1
0 251 1
0 253 1
1 0 2
1 2 1
1 3 2
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 3
1 12 1
1 13 2
1 16 1
1 18 1
1 19 2
1 20 1
1 21 2
1 27 1
1 29 1
1 30 1
1 31 1
1 33 1
1 34 1
1 38 1
1 43 1
1 44 1
1 45 1
1 46 2
1 47 2
1 49 1
1 50 4
1 57 1
1 58 2
1 59 1
1 60 1
1 63 2
1 64 1
1 66 1
1 67 1
1 68 2
1 70 1
1 74 1
1 76 1
1 77 1
1 83 1
1 84 1
1 86 1
1 88 1
1 92 2
1 95 3
1 96 2
1 97 1
1 100 1
1 101 2
1 104 1
1 106 1
1 108 1
1 111 1
1 113 1
1 114 1
1 123 1
1 124 1
1 126 1
1 129 1
1 130 1
1 131 1
1 133 1
1 135 1
1 140 1
1 142 1
1 147 1
1 148 1
1 149 1
1 150 1
1 154 1
1 156 2
1 160 1
1 164 1
1 166 2
1 169 1
1 171 2
1 172 1
1 174 1
1 175 1
1 177 1
1 180 1
1 181 1
1 183 1
1 184 1
1 186 1
1 189 2
1 192 1
1 193 2
1 194 2
1 197 2
1 199 3
1 201 1
1 202 2
1 207 1
1 209 1
1 221 1
1 222 1
1 223 1
1 224 1
1 225 1
1 226 1
1 227 1
1 229 1
1 231 1
1 232 1
1 233 1
1 234 1
1 235 4
1 239 2
1 241 1
1 243 1
1 244 1
1 246 1
1 250 1
1 251 2
1 253 2
2 0 1
2 1 1
2 3 1
2 9 1
2 10 1
2 13 1
2 16 1
2 27 1
2 38 1
2 43 1
2 44 1
2 45 1
2 46 1
2 47 1
2 49 1
2 50 1
2 57 1
2 58 1
2 68 1
2 76 1
2 77 1
2 92 1
2 95 1
2 104 1
2 108 1
2 111 1
2 114 1
2 130 1
2 131 1
2 133 1
2 140 1
2 150 1
2 154 1
2 156 1
2 160 1
2 169 1
2 171 1
2 174 1
2 175 1
2 177 1
2 193 1
2 194 1
2 199 1
2 202 1
2 207 1
2 209 1
2 221 1
2 222 1
2 223 1
2 224 1
2 226 1
2 227 1
2 229 1
2 232 1
2 235 1
2 241 1
2 251 1
2 253 1
3 0 1
3 1 2
3 2 1
3 9 1
3 10 2
3 13 1
3 16 1
3 19 1
3 21 1
3 27 1
3 38 1
3 43 1
3 44 1
3 45 1
3 46 1
3 47 1
3 49 1
3 50 2
3 57 1
3 58 1
3 63 1
3 68 2
3 76 1
3 77 1
3 92 1
3 95 2
3 96 1
3 104 1
3 106 1
3 108 1
3 111 1
3 114 1
3 130 1
3 131 1
3 133 1
3 140 1
3 142 1
3 150 1
3 154 1
3 156 2
3 160 1
3 166 1
3 169 1
3 171 1
3 174 1
3 175 1
3 177 1
3 183 1
3 189 1
3 193 1
3 194 1
3 197 1
3 199 1
3 202 1
3 207 1
3 209 1
3 221 1
3 222 1
3 223 1
3 224 1
3 225 1
3 226 1
3 227 1
3 229 1
3 232 1
3 235 2
3 239 1
3 241 1
3 251 1
3 253 2
4 12 1
4 14 1
4 15 1
4 26 1
4 32 1
4 36 1
4 37 1
4 40 1
4 41 1
4 48 1
4 56 1
4 61 1
4 69 1
4 72 1
4 80 1
4 82 1
4 90 1
4 91 1
4 93 1
4 98 1
4 107 1
4 110 1
4 122 1
4 125 1
4 127 1
4 128 1
4 132 1
4 137 1
4 145 1
4 146 1
4 152 1
4 155 1
4 157 1
4 163 1
4 165 1
4 167 1
4 176 1
4 179 1
4 188 1
4 195 1
4 199 1
4 206 1
4 212 1
4 217 1
4 228 1
4 232 1
4 235 1
4 236 1
4 237 1
4 238 1
4 242 1
4 249 1
5 1 1
5 6 1
5 7 1
5 8 1
5 10 1
5 12 1
5 13 1
5 18 1
5 19 1
5 20 1
5 21 1
5 29 1
5 30 1
5 31 1
5 33 1
5 34 1
5 46 1
5 47 1
5 50 1
5 58 1
5 63 1
5 64 1
5 66 1
5 74 1
5 84 1
5 88 1
5 92 1
5 95 1
5 96 1
5 97 1
5 100 1
5 101 1
5 113 1
5 123 1
5 124 1
5 126 1
5 129 1
5 147 1
5 148 1
5 149 1
5 164 1
5 171 1
5 172 1
5 181 1
5 184 1
5 186 1
5 189 1
5 192 1
5 193 1
5 194 1
5 199 1
5 201 1
5 202 1
5 233 1
5 234 1
5 235 1
5 239 1
5 243 1
5 244 1
5 246 1
5 251 1
6 1 1
6 5 1
6 7 1
6 8 1
6 10 1
6 12 1
6 13 1
6 18 1
6 19 1
6 20 1
6 21 1
6 29 1
6 30 1
6 31 1
6 33 1
6 34 1
6 46 1
6 47 1
6 50 1
6 58 1
6 63 1
6 64 1
6 66 1
6 74 1
6 84 1
6 88 1
6 92 1
6 95 1
6 96 1
6 97 1
6 100 1
6 101 1
6 113 1
6 123 1
6 124 1
6 126 1
6 129 1
6 147 1
6 148 1
6 149 1
6 164 1
6 171 1
6 172 1
6 181 1
6 184 1
6 186 1
6 189 1
6 192 1
6 193 1
6 194 1
6 199 1
6 201 1
6 202 1
6 233 1
6 234 1
6 235 1
6 239 1
6 243 1
6 244 1
6 246 1
6 251 1
7 1 1
7 5 1
7 6 1
7 8 1
7 10 1
7 12 1
7 13 2
7 18 1
7 19 1
7 20 1
7 21 1
7 29 1
7 30 1
7 31 1
7 33 1
7 34 1
7 46 2
7 47 1
7 50 1
7 52 1
7 58 1
7 61 1
7 63 1
7 64 1
7 66 1
7 74 1
7 76 1
7 81 1
7 84 1
7 88 1
7 92 1
7 95 1
7 96 1
7 97 1
7 100 1
